file,method,run,ms,occurrences,size_kb,target
DonQuixote.txt,SerialCPU,1,212,188,2173,the
DonQuixote.txt,SerialCPU,2,117,188,2173,the
DonQuixote.txt,SerialCPU,3,199,188,2173,the
DonQuixote.txt,ParallelCPU(1),1,211,188,2173,the
DonQuixote.txt,ParallelCPU(1),2,109,188,2173,the
DonQuixote.txt,ParallelCPU(1),3,86,188,2173,the
DonQuixote.txt,ParallelCPU(2),1,81,188,2173,the
DonQuixote.txt,ParallelCPU(2),2,180,188,2173,the
DonQuixote.txt,ParallelCPU(2),3,141,188,2173,the
DonQuixote.txt,ParallelCPU(4),1,119,188,2173,the
DonQuixote.txt,ParallelCPU(4),2,82,188,2173,the
DonQuixote.txt,ParallelCPU(4),3,72,188,2173,the
DonQuixote.txt,ParallelCPU(8),1,195,188,2173,the
DonQuixote.txt,ParallelCPU(8),2,144,188,2173,the
DonQuixote.txt,ParallelCPU(8),3,115,188,2173,the
DonQuixote.txt,ParallelGPU,1,117,188,2173,the
DonQuixote.txt,ParallelGPU,2,190,188,2173,the
DonQuixote.txt,ParallelGPU,3,154,188,2173,the
Dracula.txt,SerialCPU,1,60,8101,869,the
Dracula.txt,SerialCPU,2,30,8101,869,the
Dracula.txt,SerialCPU,3,74,8101,869,the
Dracula.txt,ParallelCPU(1),1,35,8101,869,the
Dracula.txt,ParallelCPU(1),2,36,8101,869,the
Dracula.txt,ParallelCPU(1),3,32,8101,869,the
Dracula.txt,ParallelCPU(2),1,32,8101,869,the
Dracula.txt,ParallelCPU(2),2,31,8101,869,the
Dracula.txt,ParallelCPU(2),3,31,8101,869,the
Dracula.txt,ParallelCPU(4),1,86,8101,869,the
Dracula.txt,ParallelCPU(4),2,30,8101,869,the
Dracula.txt,ParallelCPU(4),3,30,8101,869,the
Dracula.txt,ParallelCPU(8),1,77,8101,869,the
Dracula.txt,ParallelCPU(8),2,48,8101,869,the
Dracula.txt,ParallelCPU(8),3,41,8101,869,the
Dracula.txt,ParallelGPU,1,44,8101,869,the
Dracula.txt,ParallelGPU,2,46,8101,869,the
Dracula.txt,ParallelGPU,3,48,8101,869,the
MobyDick.txt,SerialCPU,1,51,14715,1246,the
MobyDick.txt,SerialCPU,2,128,14715,1246,the
MobyDick.txt,SerialCPU,3,55,14715,1246,the
MobyDick.txt,ParallelCPU(1),1,120,14715,1246,the
MobyDick.txt,ParallelCPU(1),2,90,14715,1246,the
MobyDick.txt,ParallelCPU(1),3,49,14715,1246,the
MobyDick.txt,ParallelCPU(2),1,82,14715,1246,the
MobyDick.txt,ParallelCPU(2),2,41,14715,1246,the
MobyDick.txt,ParallelCPU(2),3,41,14715,1246,the
MobyDick.txt,ParallelCPU(4),1,42,14715,1246,the
MobyDick.txt,ParallelCPU(4),2,117,14715,1246,the
MobyDick.txt,ParallelCPU(4),3,79,14715,1246,the
MobyDick.txt,ParallelCPU(8),1,61,14715,1246,the
MobyDick.txt,ParallelCPU(8),2,41,14715,1246,the
MobyDick.txt,ParallelCPU(8),3,84,14715,1246,the
MobyDick.txt,ParallelGPU,1,109,14715,1246,the
MobyDick.txt,ParallelGPU,2,112,14715,1246,the
MobyDick.txt,ParallelGPU,3,73,14715,1246,the
